ds,yhat,yhat_lower,yhat_upper
2024-09-01,1071.6933687301203,-377.9910247583751,2603.3562902522667
2024-09-08,1426.0017325501303,-55.192420916894385,2859.1864703054875
2024-09-15,1929.167854659388,500.8851538012093,3472.0064223854483
2024-09-22,2129.13863148756,549.4608283589854,3638.831020280827
2024-09-29,1741.3267277428117,233.89166508034165,3218.4259415881374
2024-10-06,1037.0489781423098,-431.27391740283855,2567.9602231460526
2024-10-13,587.3664089988417,-943.7728824885158,2101.0752524335644
2024-10-20,656.4313217475211,-927.7770283841714,2195.3134808151567
2024-10-27,961.1048992653516,-478.77335163051123,2413.9476908884735
2024-11-03,1057.2743933054992,-409.61794798743665,2607.5765140179083
2024-11-10,867.3205772209645,-772.7124128843278,2429.5103414819405
2024-11-17,734.0568262975435,-766.4640235959042,2212.048833028037
2024-11-24,982.8044297543377,-464.1601341790435,2501.92468678381
